nm,HL,LL,HL_2,LL_2,HL_UB,HL_LB,LL_UB,LL_LB
594,4.01E-09,1.11E-08,4.83E-09,1.28E-08,4.3733E-09,3.64863E-09,1.177E-08,1.050E-08
595,4.01E-09,1.10E-08,4.91E-09,1.27E-08,4.35259E-09,3.66002E-09,1.161E-08,1.042E-08
596,3.95E-09,1.10E-08,4.96E-09,1.26E-08,4.26683E-09,3.62356E-09,1.138E-08,1.053E-08
597,3.90E-09,1.07E-08,4.86E-09,1.23E-08,4.19427E-09,3.59647E-09,1.102E-08,1.030E-08
598,3.83E-09,1.06E-08,4.89E-09,1.22E-08,4.08303E-09,3.57056E-09,1.087E-08,1.033E-08
599,3.68E-09,1.04E-08,4.80E-09,1.23E-08,3.93383E-09,3.43433E-09,1.091E-08,9.898E-09
600,3.64E-09,1.04E-08,4.70E-09,1.20E-08,3.93926E-09,3.33602E-09,1.081E-08,9.899E-09
601,3.65E-09,1.03E-08,4.56E-09,1.18E-08,3.90566E-09,3.39062E-09,1.078E-08,9.866E-09
602,3.62E-09,1.03E-08,4.49E-09,1.18E-08,3.79542E-09,3.43939E-09,1.092E-08,9.755E-09
603,3.56E-09,1.03E-08,4.31E-09,1.19E-08,3.73208E-09,3.39015E-09,1.069E-08,9.845E-09
604,3.60E-09,1.04E-08,4.24E-09,1.21E-08,3.81281E-09,3.38489E-09,1.063E-08,1.017E-08
605,3.65E-09,1.04E-08,4.28E-09,1.22E-08,3.96757E-09,3.33644E-09,1.063E-08,1.022E-08
606,3.77E-09,1.06E-08,4.38E-09,1.24E-08,4.07698E-09,3.45752E-09,1.092E-08,1.037E-08
607,3.83E-09,1.09E-08,4.39E-09,1.26E-08,4.19884E-09,3.46951E-09,1.127E-08,1.056E-08
608,3.95E-09,1.10E-08,4.43E-09,1.27E-08,4.33735E-09,3.56066E-09,1.152E-08,1.050E-08
609,4.04E-09,1.14E-08,4.58E-09,1.30E-08,4.48091E-09,3.60826E-09,1.207E-08,1.081E-08
610,4.22E-09,1.20E-08,4.73E-09,1.35E-08,4.62444E-09,3.80841E-09,1.252E-08,1.141E-08
611,4.35E-09,1.23E-08,4.95E-09,1.39E-08,4.68366E-09,4.02317E-09,1.304E-08,1.165E-08
612,4.37E-09,1.26E-08,5.06E-09,1.41E-08,4.52456E-09,4.20707E-09,1.328E-08,1.195E-08
613,4.39E-09,1.29E-08,5.18E-09,1.39E-08,4.62386E-09,4.15419E-09,1.370E-08,1.211E-08
614,4.41E-09,1.32E-08,5.43E-09,1.42E-08,4.7636E-09,4.06457E-09,1.375E-08,1.268E-08
615,4.46E-09,1.32E-08,5.51E-09,1.42E-08,4.76925E-09,4.15161E-09,1.393E-08,1.249E-08
616,4.61E-09,1.32E-08,5.55E-09,1.48E-08,4.94783E-09,4.27335E-09,1.375E-08,1.269E-08
617,4.69E-09,1.35E-08,5.64E-09,1.55E-08,5.00121E-09,4.37466E-09,1.380E-08,1.312E-08
618,4.74E-09,1.37E-08,5.94E-09,1.61E-08,5.11223E-09,4.35889E-09,1.398E-08,1.332E-08
619,4.76E-09,1.36E-08,5.99E-09,1.66E-08,5.12142E-09,4.40126E-09,1.385E-08,1.336E-08
620,4.86E-09,1.39E-08,6.18E-09,1.71E-08,5.18413E-09,4.53956E-09,1.402E-08,1.382E-08
621,4.97E-09,1.40E-08,6.31E-09,1.74E-08,5.3465E-09,4.58618E-09,1.436E-08,1.361E-08
622,5.09E-09,1.42E-08,6.40E-09,1.78E-08,5.44768E-09,4.72487E-09,1.463E-08,1.383E-08
623,5.18E-09,1.45E-08,6.50E-09,1.82E-08,5.65606E-09,4.70831E-09,1.502E-08,1.391E-08
